symbol,trades,winrate,avg_r,pf,total_r,score,coin_class,allowed_setups,risk_multiplier,reason
INJUSDT,655,0.5191,0.0918,1.3106,60.1208,11.6712,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ARBUSDT,689,0.4964,0.0739,1.2109,50.9127,8.9908,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ARUSDT,690,0.4957,0.0549,1.1558,37.8502,6.0434,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
IMXUSDT,718,0.493,0.0263,1.0691,18.9009,2.7473,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
TONUSDT,743,0.4738,0.0108,1.0368,8.0541,0.6177,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
BCHUSDT,708,0.4915,0.0283,1.1043,20.0327,-0.3813,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
LDOUSDT,644,0.4581,0.0071,1.0185,4.5456,-1.6802,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
OPUSDT,683,0.4758,-0.0054,0.9856,-3.6976,-1.743,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
POLUSDT,683,0.4744,-0.0101,0.9698,-6.8974,-2.1642,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ONDOUSDT,730,0.489,-0.0041,0.9881,-3.0195,-2.4493,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
PYTHUSDT,719,0.4437,-0.0241,0.9371,-17.3154,-6.054,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
LINKUSDT,629,0.4658,-0.0363,0.892,-22.8276,-7.0529,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SANDUSDT,712,0.4607,-0.031,0.9096,-22.1053,-7.5806,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
NEARUSDT,731,0.4569,-0.0435,0.8846,-31.7844,-8.2138,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
RENDERUSDT,718,0.4192,-0.0356,0.9207,-25.5456,-8.2382,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
AAVEUSDT,742,0.4636,-0.0385,0.9033,-28.5876,-8.5145,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
UNIUSDT,655,0.4824,-0.0475,0.8623,-31.0824,-9.0438,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
FILUSDT,613,0.4372,-0.0608,0.844,-37.2924,-9.1833,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
JUPUSDT,694,0.4438,-0.0564,0.8615,-39.1728,-9.7482,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
FETUSDT,777,0.4234,-0.0618,0.8696,-48.0005,-10.2857,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
OMUSDT,115,0.4174,-0.0546,0.9026,-6.2782,-10.6557,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ETHUSDT,583,0.4305,-0.0632,0.8249,-36.863,-11.0692,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
TAOUSDT,737,0.4084,-0.0684,0.8699,-50.4186,-11.7394,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
XRPUSDT,726,0.4628,-0.0803,0.7591,-58.2751,-12.0512,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
DOGEUSDT,656,0.4421,-0.0585,0.8339,-38.3749,-12.5312,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
API3USDT,587,0.46,-0.1114,0.662,-65.3892,-16.4575,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
BNBUSDT,770,0.4117,-0.0976,0.6737,-75.1237,-17.1295,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
BTCUSDT,664,0.4307,-0.1138,0.6431,-75.5659,-18.5481,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SOLUSDT,688,0.4084,-0.1129,0.6937,-77.6626,-18.7267,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
MANAUSDT,750,0.408,-0.1148,0.6914,-86.0682,-18.9208,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
LTCUSDT,750,0.412,-0.1106,0.6274,-82.9748,-19.3986,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
PENDLEUSDT,736,0.4144,-0.1632,0.6297,-120.1401,-21.3908,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
