symbol,trades,winrate,avg_r,pf,total_r,score,coin_class,allowed_setups,risk_multiplier,reason
BCHUSDT,605,0.5306,0.1025,1.3485,62.0246,15.8461,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
XRPUSDT,735,0.5211,0.105,1.3427,77.1685,14.3684,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
AAVEUSDT,619,0.5153,0.1053,1.3222,65.1793,14.3142,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
UNIUSDT,585,0.4991,0.0944,1.274,55.2427,11.4903,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
BNBUSDT,866,0.5231,0.0771,1.3364,66.7917,11.448,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
LDOUSDT,618,0.5162,0.0846,1.2583,52.2761,10.5183,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
FILUSDT,603,0.4975,0.0863,1.2132,52.046,9.1354,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
RENDERUSDT,664,0.4714,0.1257,1.2742,83.4557,9.0269,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
INJUSDT,688,0.5174,0.0704,1.1847,48.4105,8.9464,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
NEARUSDT,608,0.5181,0.0822,1.2305,49.969,8.1155,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ONDOUSDT,704,0.4957,0.0763,1.2023,53.707,8.1124,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
PENDLEUSDT,681,0.4905,0.0801,1.1819,54.5172,7.7953,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ETHUSDT,615,0.4699,0.0801,1.2395,49.2478,7.4772,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
BTCUSDT,886,0.5023,0.0613,1.2263,54.3357,7.3377,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
POLUSDT,741,0.4872,0.0727,1.1802,53.8435,6.3429,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
DOGEUSDT,604,0.5017,0.0646,1.1793,39.007,6.323,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
FETUSDT,630,0.4698,0.0623,1.1522,39.2719,4.2401,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
TAOUSDT,738,0.4946,0.0337,1.0826,24.8858,3.5657,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SANDUSDT,699,0.4635,0.05,1.1203,34.9322,2.8183,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
OMUSDT,606,0.4653,0.0224,1.057,13.5914,0.6408,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ARUSDT,651,0.4747,0.0177,1.0423,11.5301,0.2927,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
MANAUSDT,776,0.4601,0.0043,1.0104,3.3289,-0.8033,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SOLUSDT,620,0.4742,0.0105,1.0305,6.5387,-1.9217,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
PYTHUSDT,673,0.4383,-0.007,0.984,-4.7312,-4.296,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
OPUSDT,647,0.4343,-0.0136,0.9679,-8.8003,-4.9484,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
JUPUSDT,665,0.4361,-0.0115,0.9739,-7.6258,-5.1096,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
IMXUSDT,699,0.4278,-0.0531,0.8893,-37.1046,-7.7589,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
TONUSDT,641,0.4477,-0.0499,0.8621,-31.9588,-7.9403,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
API3USDT,600,0.4267,-0.0309,0.9246,-18.5485,-9.5591,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
LTCUSDT,605,0.438,-0.0535,0.8497,-32.3614,-9.7292,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
LINKUSDT,629,0.4356,-0.0704,0.8149,-44.2982,-12.6452,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ARBUSDT,627,0.4099,-0.1188,0.7431,-74.5106,-15.3001,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
